"zone11","zone14","zone15","zone16","zone17","zone18","zone19","zone20","zone21","Year"
33.5781778635682,79.9529041904615,32.6292370735789,70.02689763808,49.5062887203,55.037719011125,353.60354840808,178.170212756786,1360.36450110384,1987
8.3604214535873,42.6123042631111,73.8204752666667,42.8634553231579,24.5079054814583,44.0437164645714,174.85876622148,181.830834133714,364.859848264087,1988
56.4014377212157,4.60834566866667,30.7137116318889,76.95503742344,46.5394210892857,294.636698176133,495.6370846358,575.600742067965,692.651433161875,1989
39.7305733624923,64.6119196497419,80.7516433080667,51.77587302,23.245518085625,98.2699382792,820.820797847609,584.526603579458,1229.1987724665,1990
54.9006166675909,170.401752889111,178.002782361769,67.7934606799565,69.7850570680909,97.054875416625,563.948116721111,993.081159534348,1473.83600396546,1991
14.5131003919556,31.4570310765455,21.5238641498333,43.83514766535,13.66486614212,15.5212807661667,186.892763967903,652.005641604231,101.62428016835,1992
15.8411664959773,90.8379804684483,95.9593385228823,13.0945711134583,55.6087159575789,79.4454859322857,108.109581256931,180.055142797542,371.256636276727,1993
38.1080075347667,28.952902338913,66.2954613999545,36.82897205144,29.4551402231765,182.77236365,270.149229568,506.815968738769,1224.42687936555,1994
60.6591186515714,111.781414321769,136.894539436111,59.295209365,90.6451409371739,145.665978071538,702.170633033963,682.080798715731,788.984187530952,1995
24.1872168821522,158.609794032077,46.4879676925263,72.9976950625909,28.5502550342222,173.324762208353,565.50785780519,68.4783564325,231.15927307288,1996
42.5912937005238,18.1960614520833,55.937798504,20.7684413755909,17.7934476611739,68.7760776579,249.44577898675,156.706639730731,432.313701143615,1997
68.1363713874118,76.8412678256875,41.1082572935714,84.18074008752,27.1821058061111,278.234565462357,600.096989100136,559.307512147194,593.613903250706,1998
159.244075708209,109.832779494741,97.2523668258947,57.9442812952,60.0330948233478,185.454695903308,689.80777187608,566.346594076531,576.7943615342,1999
127.839303880302,401.622766775857,183.075763958,126.964381816263,61.7622610014815,471.94177846225,364.567416997862,729.543449554484,911.781118513333,2000
157.173610096735,91.61085579008,63.8144294989444,57.8284414027692,53.037663789,157.9717163098,476.963036383333,157.039115121471,708.179721481095,2001
90.7853346680227,44.00477637944,93.9958079174762,35.6614562693704,80.3604819158421,690.413507164933,714.92494697028,219.704836087586,631.532531055727,2002
275.130932147238,355.737610473368,276.744879845125,0.8571424485,70.8736343384706,109.7239077131,1084.91431767386,670.6897958595,384.938236268304,2003
83.6464304425,168.903047886483,109.240472798353,77.6402177854,110.53927587204,366.747976935571,669.807680886316,322.68590130392,926.307336360476,2004
43.8510091815161,205.737572129579,162.291223324,206.323561685688,253.894455044429,629.590441812,226.806937550464,191.739381622455,196.845928183185,2005
551.268715732444,535.332507342469,545.326820384167,380.95287188945,333.061268679565,635.786705255294,1030.29132704761,781.042596518226,585.197785496222,2006
181.10700455245,281.676401853333,61.1094169601333,117.6743717205,202.221354598087,339.522129598571,485.374272547241,428.652294887875,654.85588220381,2007
88.1715069402951,89.304034343907,311.6230541765,102.671559794739,384.962189438381,1024.10701513156,791.6794342175,408.795851949905,545.767263852571,2008
48.7385501510648,270.435584344889,293.637415342278,329.737629443333,627.595849088696,695.19482715816,791.476762556091,231.402450429828,552.591085681783,2009
58.0508728041667,908.510691362083,415.402791526938,397.011831727619,258.412614653667,201.506795333,553.503877399259,534.853257343222,1195.56093708789,2010
48.1400809142857,400.815250225714,158.892021962882,204.883917266957,677.26852832869,415.941061977345,1479.96909001778,870.534112306905,624.841960649,2011
82.438583374,714.305698938095,370.002054011667,412.00116510016,192.118829976433,469.823772548481,258.0939152737,908.100263237,410.625019934733,2012
159.601777175862,324.354802738235,130.953338632143,114.063773758636,99.1321538321905,342.061708537364,1045.59799769344,214.939937187059,62.2848005308333,2013
60.0645161290323,198.863588982381,169.79087367,238.423002066182,130.509883606071,187.68156194613,266.052469258889,360.579041374056,37.1608070637857,2014
70.8235294117647,484.304122939545,425.403805214444,236.001344781143,590.568285807143,371.288449538741,544.073619651053,469.90622367295,327.871036098231,2015
42.0604715058182,210.455234522727,288.199134841875,311.308167796476,222.378902340433,213.305917012783,541.353656644842,446.998546673706,121.946724224143,2016
121.888902573818,331.396486679,242.095973076154,208.836543625783,264.787076441192,232.400701733625,214.587477066053,468.304729637143,595.640046525143,2017
90.9055029211538,371.392719469474,259.709982730714,134.674500565857,174.126993913308,356.662819752579,681.057264859091,491.121715145455,83.7219704257857,2018
41.0966491046452,99.0196477310667,105.610384425385,297.5336033085,82.4728277687037,260.355124023182,1076.74478977131,553.89596824185,92.0626502048333,2019
